.\datasets\images\10010052.jpg| A girl is on rollerskates talking on her cellphone standing in a parking lot .,,,,,,,,,| A trendy girl talking on her cellphone while gliding slowly down the street .,,,,,,,,,| A young adult wearing rollerblades , holding a cellular phone to her ear .,,,,,,,,| there is a young girl on her cellphone while skating .,,,,,,,,,| Woman talking on cellphone and wearing rollerskates .,,,,,,,,,
.\datasets\images\7233046630.jpg| A man kayaks down a rapid river , with another kayaker in the distance tries to catch up .,,,,,,,,| A person in a blue kayak , paddling over rough water .,,,,,,,,| Two men in separate kayaks going through rapids .,,,,,,,,,| A man is going down a river in a kayak .,,,,,,,,,| A guy kayaking through wavy water .,,,,,,,,,
.\datasets\images\7234519202.jpg| Two men boxing , while a bald referee watches in the background .,,,,,,,,| Two men boxing , blue and red gloves , in front of the referee .,,,,,,,| Man boxing with another man with a referee in the background .,,,,,,,,,| Two men are boxing while the referee watches .,,,,,,,,,| two men boxing shirtless with black pants on,,,,,,,,,
.\datasets\images\7237741388.jpg| A welder wearing a welding suit is welding scrap metal together .,,,,,,,,,| A man in a black uniform begins a wield on a piece of metal .,,,,,,,,,| Someone is welding a girder at a work site .,,,,,,,,,| A welder person in the middle of a weld .,,,,,,,,,| A welder is making a new project .,,,,,,,,,
.\datasets\images\7238675644.jpg| A young T-ball player takes a swing as his teammates and some parents watch .,,,,,,,,,| A t-ball batter is in mid-swing with his eye focused on the ball .,,,,,,,,,| Playing tee ball is such fun for this little boy .,,,,,,,,,| A child swings the bat to hit the ball off the T .,,,,,,,,,| A kid hitting a baseball in a baseball field .,,,,,,,,,
.\datasets\images\724056172.jpg| A sunburned girl in a pink tank top talks on her cellphone .,,,,,,,,,| A blond-haired woman holding money talks on her cellphone .,,,,,,,,,| A blond on a cellphone wearing a pink tank top .,,,,,,,,,| A girl in a pink top speaking on her cellphone .,,,,,,,,,| A girl in a red tank top talks on a cellphone .,,,,,,,,,
.\datasets\images\724530150.jpg| A little boy in a blue shirt and blue Crocs stands in the branches of a tree .,,,,,,,,,| A man holding a young child on a tree branch .,,,,,,,,,| A man holds a small child on a tree limb .,,,,,,,,,| Little child with blue shirt in tree .,,,,,,,,,| A man holds a child on a tree branch .,,,,,,,,,
.\datasets\images\7249185350.jpg| A group of men wearing black suits , yellow swim caps , and goggles , are standing behind a red and white tape .,,,,,,| Men wearing black wetsuits , swim caps and goggles , waiting behind a start line .,,,,,,,| Swimmers wearing yellow caps and black bodysuits prepare for an endurance swim .,,,,,,,,,| Multiple men in wetsuits and goggles standing behind a ribbon .,,,,,,,,,| Various men in wetsuits and goggles are standing .,,,,,,,,,
.\datasets\images\7258326556.jpg| A man is using a sledgehammer to hammer a ring onto a barrel .,,,,,,,,,| A male wearing a shirt and jean pants trying to fix a barrel .,,,,,,,,,| Securing the rings around a barrel while listening to music .,,,,,,,,,| A man is using a hammer to do work on a barrel .,,,,,,,,,| A man hammers a barrel together .,,,,,,,,,
.\datasets\images\72686467.jpg| A family of three stands in their kitchen helping each other get the dishes done .,,,,,,,,,| Two young men and a woman are washing dishes in the kitchen .,,,,,,,,,| Three young adults are washing dishes in the kitchen .,,,,,,,,,| Two men and a woman washing dishes in the kitchen .,,,,,,,,,| Three people in a kitchen washing dishes,,,,,,,,,
.\datasets\images\7272406870.jpg| A baseball player in white uniform and red cap , stretches horizontally to catch a fly ball , in a stadium where several advertisements line the walls , including a Bingo & Casino hall in downtown Los Angeles and an ad for AAA .,,,,,,| A baseball player is caught midair attempting to catch the baseball with his mitt , while another player looks on .,,,,,,,,| The outfielder dives to catch the popup at center field .,,,,,,,,,| A center field baseball player diving to make a catch .,,,,,,,,,| Baseball player dives for a catch .,,,,,,,,,
.\datasets\images\7277233024.jpg| A firefighter climbs a ladder towards a building that is on fire ; smoke is everywhere .,,,,,,,,,| A firefighter climbs up a ladder towards flames while surrounded by smoke .,,,,,,,,,| A fireman is climbing firetruck ladder , make is way up to a fire .,,,,,,,,| A firefighter climbs a ladder towards the fire above him .,,,,,,,,,| A firefighter in uniform ascends a ladder towards a fire .,,,,,,,,,
.\datasets\images\7278851310.jpg| Two men in red and blue T-Shirts are playing soccer , with the one in blue shirt trying to snatch the ball from the one in red shirt .,,,,,,,,| Two soccer players are running and kicking a soccer ball at a game .,,,,,,,,,| Two soccer players try their hardest to get to the ball .,,,,,,,,,| Two men playing soccer against each other .,,,,,,,,,| Two men are playing soccer .,,,,,,,,,
.\datasets\images\7283701780.jpg| a racing car is making a wide turn on the dirt track and there is a lot of dust in back of him,,,,,,,,,| A rally car speeds through a turn on a dirt track as an excited audience looks on .,,,,,,,,,| A driver is drifting the back of his car , making a cloud of dirt behind him .,,,,,,,,| The Total Citroen racing car is on a rugged road .,,,,,,,,,| A race car is drifting on the unpaved the road .,,,,,,,,,
.\datasets\images\7289004844.jpg| A woman is writing while sitting on cloth in a field near a windmill .,,,,,,,,,| Female sitting on a colorful blanket in the grass , near a windmill .,,,,,,,,| A female artist sits on a blanket and paints in front of a windmill .,,,,,,,,,| A girl is writing on her journal on a picnic cloth .,,,,,,,,,| A woman reads by a windmill .,,,,,,,,,
.\datasets\images\7292785488.jpg| A man in a blue shirt rides a skateboard along a railing not far from a brick wall .,,,,,,,,,| A young man in a blue shirt grinds a rail on a skateboard in an urban area .,,,,,,,,,| A man in a blue shirt and jeans grinds down a rail on his skateboard .,,,,,,,,,| A man in a blue shirt is skateboarding .,,,,,,,,,| Man , skateboarding,,,,,,,,
.\datasets\images\7293099510.jpg| An elderly man wearing a white , knit cap and gray shirt is sewing a striped piece of fabric on an industrial sewing machine .,,,,,,,,| In a old urban house , a old middle eastern man sows together a striped purple and light blue cloth on a wooden table .,,,,,,,,| An old man with a white hat sews a shirt with a sewing machine in a dilapidated room .,,,,,,,,,| An elderly black man using a sewing machine on a shirt .,,,,,,,,,| A man mends some clothing on an old sewing machine .,,,,,,,,,
.\datasets\images\7294349968.jpg| A baseball pitcher wearing a purple and white uniform throwing a baseball from the mound .,,,,,,,,,| The pitcher skillfully threw the ball towards the batter from the mound .,,,,,,,,,| Pitcher on pitching mound in maroon cap and jersey releases baseball .,,,,,,,,,| A young man in a red and white uniform throwing a baseball .,,,,,,,,,| A baseball player throws a baseball .,,,,,,,,,
.\datasets\images\7301265688.jpg| A man is sitting on a blue stool working outside at a worn wooden desk .,,,,,,,,,| A man sitting on a stool is selling plastic housewares .,,,,,,,,,| A man sitting at a desk repairing an object .,,,,,,,,,| a man in white organizes a yellow folder .,,,,,,,,,| A man working at a workbench .,,,,,,,,,
.\datasets\images\7302553732.jpg| A young boy with a blue and gray shirt is making designs on a beach in the sand with a wooded area behind him .,,,,,,,,,| Young boy wearing a dark blue and green outfit playing in the sand .,,,,,,,,,| A boy in a black and green t-shirt playing outdoors in the sand .,,,,,,,,,| A child in swimming trunks is playing in the wet sand .,,,,,,,,,| A boy sitting and playing in the sand .,,,,,,,,,
.\datasets\images\7309432042.jpg| Three men with blue jerseys try to score a goal in soccer against the other team in white jerseys and their goalie in green .,,,,,,,,,| A soccer field where the goalie who is wearing a green jersey has just caught the ball .,,,,,,,,,| A goalie caught the ball in a game of soccer in a stadium with empty seats .,,,,,,,,,| A soccer goalie jumping up to save the ball from going in the net .,,,,,,,,,| A soccer goalie in the air after catching the soccer ball .,,,,,,,,,
.\datasets\images\7309436654.jpg| An overweight man , wearing a blue and white soccer uniform , is playing soccer and there is a red circle drawn on the grass near where he is standing .,,,,,,,| A man in a soccer uniform is kicking the ball while another man watches in the background .,,,,,,,,,| A portly gentleman in a blue uniform is about to kick a soccer ball .,,,,,,,,,| One man playing soccer while a person in the background watches .,,,,,,,,,| An overweight man is playing soccer .,,,,,,,,,
.\datasets\images\7309587162.jpg| A man in white and black riding gear jumps his motorbike high above the ground with blurry field and clouds in the background .,,,,,,,,,| A motorcyclist is in the air on his or her bike , and the rest of the background is blurry .,,,,,,,,| A person is riding their dirt bike jumping high in the air along a trail .,,,,,,,,,| A person flies through the air in a field on a motorized dirt bike .,,,,,,,,,| A Motocross rider is midair with dense clouds in the sky .,,,,,,,,,
.\datasets\images\731580628.jpg| A young boy and a young girl standing near a window on a firetruck , the young girl holding an American flag .,,,,,,,,| A girl waves a flag as she sits with a boy in the backseat of a firetruck on parade .,,,,,,,,,| Two unenthusiastic kids sit in a parked firetruck .,,,,,,,,,| Kids in a firetruck hold an American flag .,,,,,,,,,| Two kids standing in a firetruck .,,,,,,,,,
.\datasets\images\73158300.jpg| A city worker ( wearing an orange vest ) , working on a laptop sitting outside on the ground .,,,,,,,,| A man wearing a bright neon orange vest sitting by a parked truck with his laptop .,,,,,,,,,| A man in an orange vest is sitting on a sidewalk with his laptop computer .,,,,,,,,,| Construction worker performing maintenance .,,,,,,,,,| Man sits on the sidewalk with a laptop .,,,,,,,,,
.\datasets\images\7324774408.jpg| Three men in a midsized backyard are digging a hole in the ground with shovels during the afternoon,,,,,,,,,| There are 3 people in a backyard , setting up something new for their house .,,,,,,,,| Three men work on the ground , two digging and one putting mortar on a wall .,,,,,,,,| 3 men , 2 shoveling dirt and the other laying down cement .,,,,,,,,| Three people are digging up dirt near a house .,,,,,,,,,
.\datasets\images\732671252.jpg| Two young boys are sitting on a trampoline talking to each other .,,,,,,,,,| Two children are sitting shirtless on a trampoline .,,,,,,,,,| Two boys sit shirtless on a trampoline .,,,,,,,,,| Two boys relaxing on a trampoline .,,,,,,,,,| Two boys sit on a trampoline .,,,,,,,,,
.\datasets\images\"7341402886.jpg| Man men in white jackets with the number "" 3 "" on the back and black pants face away from the camera on a raised platform while a crowd gathers behind them .",,,,,,,,,| A large group of teenagers standing around some are wearing uniform other are dress in their regular clothes .,,,,,,,,,| A team wearing a white jacket with the number 3 is standing on a stage with children in the background .,,,,,,,,,| A group of school children looking at a group on men wearing white shirts,,,,,,,,,| A bunch of people are standing around behind soccer players .,,,,,,,,,
.\datasets\images\7344002226.jpg| A young boy is helping prepare a meal in the kitchen using a spoon , a strainer and a bowl .,,,,,,,,| A young boy in a kitchen is mixing something in a bowl with a spoon .,,,,,,,,,| Mother tries some role reversal with her son in the kitchen .,,,,,,,,,| A young boy wearing a blue shirt cooking in the kitchen,,,,,,,,,| A child making food with his family .,,,,,,,,,
.\datasets\images\7345191578.jpg| A group of people are standing outside next to what appears to be a telescope .,,,,,,,,,| People surrounding a telescope to view things at a great distance .,,,,,,,,,| A woman wearing red is explaining her telescope to others .,,,,,,,,,| The family is standing near a telescope .,,,,,,,,,| Someone explaining an instrument .,,,,,,,,,
.\datasets\images\7345543488.jpg| There was a woman with glasses standing in front of a microphone surrounded by people .,,,,,,,,,| A woman vocalist singing in a club wearing glasses and playing keyboard,,,,,,,,,| A girl with glasses is singing into a microphone in front of a crowd .,,,,,,,,,| A woman is playing the piano and singing in front of a crowd .,,,,,,,,,| a woman with glasses is singing into a microphone .,,,,,,,,,
.\datasets\images\7347874796.jpg| There is a man in a body of water with some sort of net trying to catch something , the water looks very muddy .,,,,,,,,| A black man in chest deep , muddy water is holding a net above his head .,,,,,,,,| A male is standing in a river and fishing and is holding a net .,,,,,,,,,| A man with a large net stands in water that is up to his chest .,,,,,,,,,| A man using a net in a muddy river .,,,,,,,,,
.\datasets\images\7351665920.jpg| Three men play an electric guitar , a saxophone , and a trumpet on stage .,,,,,,,| A guitarist , a trumpet player and two saxophonists take the stage .,,,,,,,,| A band consisting of a guitarist , saxophonist , and a trumpeter .,,,,,,,| Blues band playing music with a variety of instruments .,,,,,,,,,| A band on stage playing there instruments,,,,,,,,,
.\datasets\images\7357208586.jpg| A man biking on a roadway with green lawns on both sides along with trees on the right side .,,,,,,,,,| A lone cyclist rides down a road next to an old stone wall .,,,,,,,,,| A person in a red shirt is riding a bicycle down a road .,,,,,,,,,| A solo cyclist is riding down a windy road .,,,,,,,,,| One man in the distance on a bicycle .,,,,,,,,,
.\datasets\images\7363849060.jpg| Men and women all dressed up and dancing at what seems to be a reception of sorts .,,,,,,,,,| A group of formally dressed coeds are dancing in a colorfully lit room .,,,,,,,,,| Males and females dancing together in formal wear .,,,,,,,,,| Lots of people are dancing and having a good time .,,,,,,,,,| Young people dancing at a formal party .,,,,,,,,,
.\datasets\images\7375140234.jpg| A man kneeling on the ground outside is wearing a respirator and spray painting red anarchy signs on top of a blue background featuring a drawing of a person .,,,,,,,,,| A man wearing a breathing filter is painting some marks with red paint on a large , blue painting .,,,,,,,,| A man is making spray paint art and spray painting Anarchy symbols onto the painting,,,,,,,,,| A man is illustrating using a spray paint can .,,,,,,,,,| Man creates art using spray paint .,,,,,,,,,
.\datasets\images\7376855592.jpg| At what appears to be a rodeo , a man tackles an animal to the ground while being watched by a dozen people .,,,,,,,,| The horse and rider are both on the ground at the rodeo .,,,,,,,,,| A group of men with cowboy hats are watching a rodeo .,,,,,,,,,| A rodeo player is being taken down by a bull .,,,,,,,,,| A man is tying up cattle in a rodeo .,,,,,,,,,
.\datasets\images\7378528824.jpg| A young boy about the age of 2 sits on gray rocks while holding something small in his hand .,,,,,,,,,| A little boy playing in rocks and sand down by the water .,,,,,,,,,| A young boy plays on a pile of rocks .,,,,,,,,,| A little boy sitting on some rocks .,,,,,,,,,| A young kid sitting on the rocks .,,,,,,,,,
.\datasets\images\7380257738.jpg| A little boy digs a trench on the beach while a little girl carries a Minnie Mouse bucket from the water .,,,,,,,,,| Two children have dug a large hole at the beach and are filling it with water .,,,,,,,,,| Two children play at the beach , having made a hole and a pile of sand .,,,,,,,,| Two kids in swimsuits are digging a very deep hole on the beach .,,,,,,,,,| Two children at a beach in front of a deep hole .,,,,,,,,,
.\datasets\images\7381226538.jpg| Motocross biker in a black and red uniform jumping off the back of a truck on his dirt bike at an event .,,,,,,,,,| A boy on a motorbike dressed in red and black motocross gear is in midair in a jump .,,,,,,,,,| a motocross rider wearing a red suit jumping off a ramp on a clear sunny day,,,,,,,,,| A man in a red suit performing motorcycle stunts .,,,,,,,,,| A motocross biker jumps off of a ramp .,,,,,,,,,
.\datasets\images\7391785714.jpg| Several smiling and screaming kids are on an amusement park ride .,,,,,,,,,| Four children sit in an amusement park ride called Moseride .,,,,,,,,,| Kids riding a ride in Astroland in Coney island,,,,,,,,,| Children are enjoying a ride at a carnival .,,,,,,,,,| Kids are on a amusement ride .,,,,,,,,,
.\datasets\images\7393977570.jpg| Two football players leap into the air as a player on the opposing team moves toward them .,,,,,,,,,| Two defensive players jumping in the air to block a quarterback 's pass .,,,,,,,,,| Football players are celebrating as an opposing team member watches .,,,,,,,,,| The football players are running to get the ball .,,,,,,,,,| four young football players in mid play .,,,,,,,,,
.\datasets\images\7396941510.jpg| One orange and one blue motorcycle racers leaning into a tight corner of the track .,,,,,,,,,| Two motorcycles racers make sharp right turn on the racetrack .,,,,,,,,,| Two people on bike racing on track rounding a corner,,,,,,,,,| Two motorcycle racers bend low along a turn .,,,,,,,,,| Two motorcycles racing on a track .,,,,,,,,,
.\datasets\images\7406123104.jpg| Chefs preparing food outside with bread and cooking equipment visible next to the ingredients they are working on .,,,,,,,,,| A hired chef is cutting up some vegetables for gourmet finger foods at an outdoor wine tasting gathering .,,,,,,,,,| A man in a white jacket is cutting up food in an outdoor venue .,,,,,,,,,| A chef prepares a meal in an outdoor kitchen .,,,,,,,,,| A chef prepares food outdoors .,,,,,,,,,
.\datasets\images\7411114322.jpg| Number 13 reaches out as he turns directions in an effort to deflect the anticipated path of the football during the game .,,,,,,,,,| Two athletes are on the field , the one in red on the left grabs the ball away from the man next to him .,,,,,,,,| Two men , one in a red jersey holding a ball and the other in a blue jersey , run on a grassy field .,,,,,,,| The soccer player wearing blue is trying to block the opposing team from catching the soccer ball .,,,,,,,,,| The young men are playing Rugby and are on opposite teams .,,,,,,,,,
.\datasets\images\7420874336.jpg| Two men look out of the control tower of a sea tanker - one waves .,,,,,,,,,| Two men look out towards a camera while they stand on a ship .,,,,,,,,,| Two men look out from the bridge of a large sea-faring ship .,,,,,,,,,| Two men wave from atop a piece of heavy machinery .,,,,,,,,,| two men standing on the deck of a large ship,,,,,,,,,
.\datasets\images\7420985602.jpg| Two men in workers ' gear and colorful hard hats standing on board what appears to be a large ship , next to some very large machinery .,,,,,,,,| Two men , both wearing blue and yellow jackets and hard hats , are standing in front of a large machine .,,,,,,,| Two men , wearing hard hats and blue and yellow coats stand in front of a large machine and smile .,,,,,,,,| Two workers in uniform are standing next to some heavy machinery .,,,,,,,,,| These men are taking a break from their job .,,,,,,,,,
.\datasets\images\74213476.jpg| An Asian child dressed in red is crying as an Asian woman appears to be comforting her .,,,,,,,,,| An Asian child in a red coat cries while his mother , in a tan coat , comforts him .,,,,,,,| An Asian woman is comforting a crying child in a hair salon .,,,,,,,,,| A woman comforts a small , crying child in pajamas .,,,,,,,,| Little chinese boy crying with his mom .,,,,,,,,,
.\datasets\images\7421349720.jpg| A soccer goalie is diving to stop a shot by a player from the opposition while a ref and others are nearby .,,,,,,,,,| A goalie in white runs for an approaching ball while the opponent in red who kicked it waits .,,,,,,,,,| Two teams are playing soccer in a large stadium that is filled with spectators .,,,,,,,,,| This soccer game is exciting when the player shoots the ball toward the goal .,,,,,,,,,| Goal keeper is going to stop the ball in a soccer match,,,,,,,,,
.\datasets\images\7423137882.jpg| A skateboarder wearing gray pants and a white shirt is in mid-leap with one arm extended and the other holding his board .,,,,,,,,,| A man in rollerblades with knee pads and a helmet on does a trick in the air .,,,,,,,,,| A young male skateboarder is jumping from a great height onto a lower floor .,,,,,,,,,| A skateboarder is landing a trick from a high place .,,,,,,,,,| A person is jumping using rollerblades .,,,,,,,,,
.\datasets\images\74244744.jpg| A male bartender dressed in all black with his sleeves rolled up to elbow height making a drink in a martini glass .,,,,,,,,,| A bartender in a black shirt prepares a pink drink in a martini glass .,,,,,,,,,| Young male bartender in black t-shirt mixes a drink .,,,,,,,,,| A bartender with an eyebrow ring is pouring a drink .,,,,,,,,,| A man is pouring a drink into a martini glass .,,,,,,,,,
.\datasets\images\7425128736.jpg| Three indoor track cyclist are being held balanced in place at the starting line by three attendants .,,,,,,,,,| In an indoor bike arena 3 people are getting on bikes while men dressed in suits look on .,,,,,,,,,| Three bicyclists in blue uniforms prepare for the start of a race .,,,,,,,,,| Three people on bicycles at the starting line of a race .,,,,,,,,,| Three cyclists prepare at the starting line for a race .,,,,,,,,,
.\datasets\images\7425257042.jpg| A ring bearer wearing a black suit with a pink vest is smiling big next to the flower girl in a white dress with a pink tie .,,,,,,,,,| A small boy and small girl are wearing formal clothes at a wedding , while walking down the aisle .,,,,,,,,| A flower girl and ring bearer are walking down the aisle wearing the pink wedding colors .,,,,,,,,,| the ring beerier and the flower girl walking down the isle .,,,,,,,,,| Cute little kids pretending to get married .,,,,,,,,,
.\datasets\images\742586128.jpg| A woman in blue scrubs is kneeling in front of an upside down bicycle while a man in a white shirt looks on .,,,,,,,,,| A man is examining a bicycle tire , while a woman dressed in blue is kneeling next to the bicycle .,,,,,,,,| A woman all in blue sits on one need with a man in a white t-shirt facing toward her .,,,,,,,,,| A bike mechanic explains the physics of a bike to a registered nurse .,,,,,,,,,| Two people working on a bicycle in a confined space .,,,,,,,,,
.\datasets\images\7426852574.jpg| An Indian dancer or actress is performing on stage in the spotlight , seated on the floor in a dramatic pose and wearing a blue dress .,,,,,,,,| An Indian women sitting down with her hand outstretched , in a blue dress and expensive jewelry .,,,,,,,,| A young women in a bright blue dress on a stage .,,,,,,,,,| Woman in brightly colored dress sitting down .,,,,,,,,,| Indian woman performing a dance on stage .,,,,,,,,,
.\datasets\images\7430281548.jpg| A white horse and a rider wearing a ale blue shirt , white pants , and a black helmet are jumping a hurdle .,,,,,,,| A man wearing riding boots and a helmet is riding a white horse , and the horse is jumping a hurdle .,,,,,,,,| A man riding a horse and jumping over a hurdle in a ring .,,,,,,,,,| a man on a horse , jumping over a horse hurdle .,,,,,,,,| equestrian competing in a competition,,,,,,,,,
.\datasets\images\7430282012.jpg| A jockey on a horse jumping over two hurdles at once in the middle of a dirt field,,,,,,,,,| A white clad rider atop a horse jumping over a series of poles .,,,,,,,,,| A jockey , all in white , jumps a horse over a fence .,,,,,,,| A jockey and his horse hurdle over an obstacle .,,,,,,,,,| A horse-rider leaps an obstacle .,,,,,,,,,
.\datasets\images\743571049.jpg| A little boy is holding a lit sparkler in the backyard .,,,,,,,,,| A young boy is twisting a sparkler around in the air .,,,,,,,,,| A child spins a sparkler leaving a light trail .,,,,,,,,,| A child in a red shirt plays with fireworks .,,,,,,,,,| A boy waves around a sparkler .,,,,,,,,,
.\datasets\images\7438344154.jpg| A girl in a green jersey top and blue shorts is getting ready to kick the soccer ball near the goal .,,,,,,,,,| A girl wearing a green jersey chases down a soccer ball in an attempt to kick it in to the net .,,,,,,,,,| Young female athlete shoots a goal in exciting soccer match-up .,,,,,,,,,| A female soccer player ready to score a goal during a game .,,,,,,,,,| A girl soccer player about to score a goal for her team .,,,,,,,,,
.\datasets\images\7456119772.jpg| A person wearing goggles with a white strap and short blond-hair swims in a pool .,,,,,,,,,| A Guy is swimming in the pool with his eye goggles on .,,,,,,,,,| A man wearing goggles is swimming in a pool .,,,,,,,,,| A blond man swimming with silver goggles,,,,,,,,,| A man swims in a pool with goggles on .,,,,,,,,,
.\datasets\images\746568292.jpg| individual trying a task never done before but watching his image in the water below him .,,,,,,,,,| A man in a red and black biking outfit rides his bike on a bridge over a body of water .,,,,,,,,,| A man rides a bicycle on a small bridge over a body of water , possibly a swamp .,,,,,,,,| A skilled bike rider navigates a thin course suspended over marshy swampland .,,,,,,,,,| A competitive biker rides a bike across a wooden bridge over a stream .,,,,,,,,,
.\datasets\images\7465714818.jpg| A muscular shirtless man flexing and wearing a green , white , and red colored Mohawk and matching armband .,,,,,,,| A muscular black man sporting a green , red and white mohawk and white shorts , is flexing his muscles .,,,,,,,| A muscular man with a multicolored mohawk shows off his physique .,,,,,,,,,| An Italian athlete posing on the field .,,,,,,,,,| An Italian man playing a sport .,,,,,,,,,
.\datasets\images\7471071992.jpg| Concertgoers enjoy standing in front of the stage at a musical performance .,,,,,,,,,| A crowd of adults and children watching a musician perform on stage .,,,,,,,,,| A stage with a large screen and a crowd of around 100 people .,,,,,,,,,| A band plays at a concert , while a crowd of people look on .,,,,,,,,| An audience listening to a concert .,,,,,,,,,
.\datasets\images\7472814756.jpg| ah , this photo is that of a regatta , possibly trials for America 's Cup , showing three yachts sailing .,,,,,,| Three catamaran boats are in close proximity to each other as they race near a bridge .,,,,,,,,,| Sailing teams come to the rescue of a boat in need .,,,,,,,,,| Three sailboats are passing a bridge .,,,,,,,,,| Three sailboats in a sailing race .,,,,,,,,,
.\datasets\images\74736854.jpg| A couple bows their head as a man in a decorative robe reads from a scroll in Asia with a black late model station wagon in the background .,,,,,,,,,| Two people standing next to a black station wagon in front of a person wearing a kimono .,,,,,,,,,| People praying by a car while another reads something from a large piece of paper .,,,,,,,,,| A man and a woman standing in front of a black station wagon .,,,,,,,,,| People are gathered outdoors for a traditional cause .,,,,,,,,,
.\datasets\images\7473971602.jpg| A woman in a short , sleeveless bright orange dress and black leggings sits on a cement bench looking down , with numerous bicycles parked behind her .,,,,,,,| A pretty young adult woman , wearing gray leggings and a bright orange tank top , is sitting on a cement bench with bicycles in the background .,,,,,,,| A woman is sitting on a concrete bench in front of a loaded bicycle rack .,,,,,,,,,| A woman sitting on a stone bench next to many bikes .,,,,,,,,,| a woman sitting near a bike rack,,,,,,,,,
.\datasets\images\7474389870.jpg| A man sporting London olympic wear carries a torch down a road lined with spectators while a yellow BMW follows him .,,,,,,,,,| An older man is running in a street , bearing the torch for the London 2012 Olympics , while a crowd watches .,,,,,,,| A gentleman carrying the 2012 Olympic torch being follow by a car on a people lined street .,,,,,,,,,| A man in an Olympic outfit is carrying the London 2012 torch down a street .,,,,,,,,,| The man in white is in the parade .,,,,,,,,,
.\datasets\images\7480077664.jpg| A guy in a blue shirt , shorts and sandals is giving a speech with a microphone to some people sitting in the front row of an auditorium .,,,,,,,,| A man in a blue shirt is talking on a microphone , in front of people sitting down .,,,,,,,,| A guy in a blue polo shirt and shorts addresses an audience in an auditorium .,,,,,,,,,| A man is speaking through the microphone to people in an audience .,,,,,,,,,| A man is giving a speech .,,,,,,,,,
.\datasets\images\7493450658.jpg| Spectators are watching a man who is dressed in a red racing outfit holding a green bicycle .,,,,,,,,,| a crowd watches a bicycle race while two racers in red walk their bikes past .,,,,,,,,,| A woman is walking her bike past a group of people .,,,,,,,,,| A bicyclist in red pushes her bicycle .,,,,,,,,,| A bicycle rider after a race .,,,,,,,,,
.\datasets\images\7498713846.jpg| A man wearing a black shirt has his hand on the back of a man wearing a red shirt .,,,,,,,,,| A man bows his head in prayer with another , as a third looks on .,,,,,,,,| Two men in red shirts are standing with a man in a black shirt .,,,,,,,,,| A praying man is comforted by another man in a parking lot .,,,,,,,,,| A group huddled together saying a little prayer .,,,,,,,,,
.\datasets\images\7499699194.jpg| Multiple women dressed in workout clothes and gloves , taking a kickboxing class .,,,,,,,,| A woman is participating in a workout class involving kickboxing-style movements .,,,,,,,,,| Two female kickboxers warm up , keeping their movements in sync .,,,,,,,,| Two athletic women warm up before their matches .,,,,,,,,,| A woman wears boxing gloves .,,,,,,,,,
.\datasets\images\7502962058.jpg| A male athlete wearing a white shirt and white pants is running past the crowd while holding a golden torch .,,,,,,,,,| A man wearing all white with gold stripes holding a golden torching waving at the crowd .,,,,,,,,,| Guy in a white clothing , running down a busy street and carrying a gold torch .,,,,,,,,| A man is cheered on as he carries the torch down a street .,,,,,,,,,| A boy carries the Olympic torch through a crowd .,,,,,,,,,
.\datasets\images\7507256476.jpg| A teenage male is sitting on a stool playing the carnival game where you shoot water into the mouth of , usually , a clown in order to pop a balloon .,,,,,,,| Sitting down at a parade type event , a man uses a water gun .,,,,,,,,| A young man takes aim in a carnival game .,,,,,,,,,| A group of people playing carnival games .,,,,,,,,,| Fair goers play carnival game .,,,,,,,,,
.\datasets\images\7510394.jpg| A man with a pipe in his mouth looks with his eyebrow raised .,,,,,,,,,| profile view of a man with a brown pipe in his mouth .,,,,,,,,,| A man with dark hair is looking forward .,,,,,,,,,| A man is smoking a pipe .,,,,,,,,,| A man is smoking a pipe,,,,,,,,,
.\datasets\images\751109943.jpg| A little girl in a dress lifts her soaked head from a bucket .,,,,,,,,,| A little girl dips her hair into a bucket filled with water .,,,,,,,,,| a young girl lifting her wet hair out of a white bucket,,,,,,,,,| A little girl has dunked her head in a bowl of water .,,,,,,,,,| A girl wets her head in a white bucket .,,,,,,,,,
.\datasets\images\75150121.jpg| A large group of people sitting around a table filled with plates and wineglasses .,,,,,,,,,| A group of people are sitting at a long table with wineglasses .,,,,,,,,,| A group of people are sitting around a table with wine .,,,,,,,,,| group of people enjoying dinner and wine,,,,,,,,,| Young adults enjoying a dinner party .,,,,,,,,,
.\datasets\images\75180828.jpg| A guy with black hair and a black shirt shows a broken glass to the camera .,,,,,,,,,| A man holding up a empty glass right in front of the camera .,,,,,,,,,| A man in a black shirt is showing a broken glass .,,,,,,,,,| A man holding a drinking glass at the camera .,,,,,,,,,| Man holding broken glass toward camera .,,,,,,,,,
.\datasets\images\7520840988.jpg| Casually dressed young males and females are sitting and laying on a grassy area with bicycles and other personal belongings reading on a sunny day .,,,,,,,,,| There a groups of people in a park , a few of them are reading and the rest are just hanging out .,,,,,,,,| A school campus or park where people are reading , biking and other activities .,,,,,,,,| People enjoy relaxation and reading in this green and shady spot .,,,,,,,,,| These young people are relaxing on the grass .,,,,,,,,,
